@RELATION activityRelation

@ATTRIBUTE orientation numeric
@ATTRIBUTE soundPredictionResult numeric
@ATTRIBUTE wifiPredictionResult numeric
@ATTRIBUTE hour numeric
@ATTRIBUTE activity {Bathroom,Midnightsnack,Cooking,Lunch,Dinner,Chopping,Washinginbathroom,Washingdishes,Breakfast}

@DATA
6,5,2,11,Bathroom
6,?,2,11,Bathroom
6,?,2,11,Bathroom
7,?,2,23,Bathroom
7,?,2,23,Bathroom
6,7,2,23,Bathroom
6,7,2,23,Bathroom
6,8,2,23,Bathroom
6,8,2,23,Bathroom
7,6,2,23,Bathroom
6,6,2,23,Bathroom
6,2,2,18,Bathroom
6,2,2,18,Bathroom
6,2,2,18,Bathroom
6,?,2,18,Bathroom
6,?,2,11,Bathroom
6,?,2,11,Bathroom
6,8,2,20,Bathroom
6,8,2,20,Bathroom
5,2,2,13,Bathroom
5,2,2,13,Bathroom
6,?,4,23,Washingdishes
6,?,4,23,Washingdishes
5,?,4,23,Washingdishes
5,?,4,23,Washingdishes
5,?,4,23,Washingdishes
5,?,4,23,Washingdishes
5,7,4,12,Washingdishes
5,7,4,12,Washingdishes
6,5,4,18,Washingdishes
6,5,4,18,Washingdishes
6,11,4,19,Washingdishes
5,11,4,19,Washingdishes
6,7,4,09,Washingdishes
6,7,4,09,Washingdishes
6,2,4,19,Washingdishes
6,2,4,19,Washingdishes
6,15,4,20,Washingdishes
6,15,4,20,Washingdishes
7,7,4,13,Washingdishes
7,7,4,13,Washingdishes
6,6,4,18,Washingdishes
6,6,4,18,Washingdishes
6,6,4,23,Washingdishes
6,6,4,23,Washingdishes
6,7,4,11,Washingdishes
6,7,4,11,Washingdishes
6,7,4,17,Washingdishes
6,7,4,17,Washingdishes
6,5,4,17,Washingdishes
6,5,4,17,Washingdishes
6,7,4,12,Washingdishes
6,7,4,12,Washingdishes
6,6,4,12,Washingdishes
6,6,4,12,Washingdishes
6,0,4,23,Washingdishes
6,0,4,23,Washingdishes
5,0,4,22,Washingdishes
5,0,4,22,Washingdishes
5,0,4,22,Washingdishes
5,0,4,22,Washingdishes
6,5,4,22,Washingdishes
6,5,4,22,Washingdishes
6,7,4,23,Washingdishes
6,7,4,23,Washingdishes
5,7,4,20,Washingdishes
5,7,4,20,Washingdishes
6,14,4,22,Washingdishes
6,14,4,22,Washingdishes
6,5,4,12,Washingdishes
6,5,4,12,Washingdishes
7,8,4,19,Washingdishes
7,8,4,19,Washingdishes
6,?,4,19,Washingdishes
7,5,4,19,Washingdishes
7,5,4,19,Washingdishes
6,14,4,12,Washingdishes
6,14,4,12,Washingdishes
5,1,4,17,Washingdishes
5,1,4,17,Washingdishes
6,5,4,18,Washingdishes
6,5,4,18,Washingdishes
6,15,4,18,Washingdishes
6,15,4,18,Washingdishes
6,5,4,22,Washingdishes
7,5,4,22,Washingdishes
7,5,4,23,Washingdishes
7,5,4,23,Washingdishes
6,?,4,11,Washingdishes
5,?,4,11,Washingdishes
6,5,4,11,Washingdishes
6,5,4,11,Washingdishes
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
