4.0,-6.75,0.13,7.23,87.0,E,116.0,1.0,978.9751,0.0,0.0,0.0,RunX,20160402_015844,,88.18,-1.23,-42.66,Phil,
0,0,0,
null
L-:,4.0,4.0,6.7,9.67,17.63,26.19,28.36,29.86,18.24,5.24,2.81,1.5,1.0,1.45,1.95,2.0,13.3,25.8,20.67,13.67,15.71,18.71,22.62,26.62,18.41,8.91,5.74,3.24,6.61,10.61,14.62,18.62,18.55,18.05,18.45,18.95,20.8,22.8,22.55,22.05,21.1,20.1,19.55,19.05,22.62,26.61,27.45,27.95,25.74,23.24,20.76,18.28,18.0,17.55,17.05,16.55,16.05,13.74,11.24,9.65,8.14,7.1,6.1,6.45,6.95,10.61,14.61,15.9,16.9,15.64,14.14,13.55,13.05,11.64,10.14,9.1,8.1,7.55,7.05,5.64,4.14,4.0,
S-:,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,
O-:,91.55,92.26,92.12,92.37,92.14,92.35,92.68,92.61,92.38,92.81,92.51,91.99,91.95,91.2,89.21,105.31,133.21,111.07,116.6,217.54,245.29,337.93,246.36,351.59,344.88,325.12,309.97,329.81,349.37,338.07,338.11,346.15,353.52,356.38,24.89,31.89,23.55,25.18,25.6,93.24,83.47,83.54,83.31,63.04,62.95,65.68,69.34,72.82,75.24,77.36,79.15,80.44,81.62,82.98,83.94,84.8,85.27,85.17,85.95,86.66,87.13,87.13,87.17,87.66,87.86,87.88,87.94,87.95,87.81,87.72,87.18,87.43,87.52,87.71,87.9,88.18,
L:,4.0,20160402_015844.310,
L:,4.0,20160402_015844.311,
S:,108.0,20160402_015844.311,
O:,91.55,20160402_015844.733,0.81,-46.4,,
O:,92.26,20160402_015844.925,0.87,-46.38,,
O:,92.12,20160402_015845.204,0.76,-46.37,,
O:,92.37,20160402_015845.404,0.84,-46.4,,
O:,92.14,20160402_015845.600,0.81,-46.39,,
O:,92.35,20160402_015845.799,0.94,-46.41,,
O:,92.68,20160402_015845.999,0.95,-46.39,,
O:,92.61,20160402_015846.370,0.91,-46.41,,
O:,92.38,20160402_015846.568,0.84,-46.44,,
O:,92.81,20160402_015846.767,0.79,-46.44,,
O:,92.51,20160402_015846.966,0.69,-46.35,,
O:,91.99,20160402_015847.164,0.7,-46.39,,
O:,91.95,20160402_015847.363,0.76,-46.39,,
O:,91.2,20160402_015847.562,1.25,-47.39,,
L:,6.7,20160402_015847.761,
L:,9.67,20160402_015847.761,
O:,89.21,20160402_015847.762,-6.01,-34.56,,
L:,17.63,20160402_015847.860,
L:,26.19,20160402_015847.861,
O:,105.31,20160402_015847.959,-25.37,-14.2,,
L:,28.36,20160402_015847.961,
L:,29.86,20160402_015847.961,
L:,18.24,20160402_015848.062,
L:,5.24,20160402_015848.062,
O:,133.21,20160402_015848.158,-56.58,-22.67,,
L:,2.81,20160402_015848.177,
L:,1.5,20160402_015848.177,
L:,1.0,20160402_015848.319,
L:,1.45,20160402_015848.516,
L:,1.95,20160402_015848.516,
O:,111.07,20160402_015848.546,-136.26,-5.03,,
L:,2.0,20160402_015848.616,
O:,116.6,20160402_015848.650,-150.76,17.1,,
O:,217.54,20160402_015848.943,144.37,66.42,,
O:,245.29,20160402_015849.048,138.63,79.79,,
L:,13.3,20160402_015849.321,
L:,25.8,20160402_015849.321,
O:,337.93,20160402_015849.340,-124.38,-63.88,,
L:,20.67,20160402_015849.422,
L:,13.67,20160402_015849.423,
O:,246.36,20160402_015849.445,178.85,-52.15,,
L:,15.71,20160402_015849.522,
L:,18.71,20160402_015849.522,
L:,22.62,20160402_015849.623,
L:,26.62,20160402_015849.623,
L:,18.41,20160402_015849.723,
L:,8.91,20160402_015849.724,
O:,351.59,20160402_015849.738,-63.51,-54.83,,
L:,5.74,20160402_015849.824,
L:,3.24,20160402_015849.825,
O:,344.88,20160402_015849.842,-49.03,-36.92,,
L:,6.61,20160402_015849.925,
L:,10.61,20160402_015849.926,
L:,14.62,20160402_015850.026,
L:,18.62,20160402_015850.027,
L:,18.55,20160402_015850.128,
L:,18.05,20160402_015850.129,
O:,325.12,20160402_015850.138,-71.83,-46.99,,
L:,18.45,20160402_015850.228,
L:,18.95,20160402_015850.230,
O:,309.97,20160402_015850.242,-80.94,-49.98,,
L:,20.8,20160402_015850.329,
L:,22.8,20160402_015850.331,
S:,109.0,20160402_015850.388,
S:,110.0,20160402_015850.389,
L:,22.55,20160402_015850.428,
L:,22.05,20160402_015850.429,
L:,21.1,20160402_015850.529,
L:,20.1,20160402_015850.529,
O:,329.81,20160402_015850.533,-79.52,-62.85,,
L:,19.55,20160402_015850.631,
L:,19.05,20160402_015850.638,
O:,349.37,20160402_015850.639,-74.12,-65.1,,
L:,22.62,20160402_015850.734,
L:,26.61,20160402_015850.735,
L:,27.45,20160402_015850.833,
L:,27.95,20160402_015850.838,
O:,338.07,20160402_015850.937,-96.22,-66.49,,
L:,25.74,20160402_015850.939,
L:,23.24,20160402_015850.941,
L:,20.76,20160402_015851.034,
L:,18.28,20160402_015851.034,
O:,338.11,20160402_015851.035,-95.38,-65.77,,
L:,18.0,20160402_015851.133,
O:,346.15,20160402_015851.327,-97.58,-63.3,,
S:,111.0,20160402_015851.329,
S:,112.0,20160402_015851.330,
L:,17.55,20160402_015851.335,
L:,17.05,20160402_015851.335,
O:,353.52,20160402_015851.434,-101.5,-63.95,,
L:,16.55,20160402_015851.437,
L:,16.05,20160402_015851.439,
L:,13.74,20160402_015851.543,
L:,11.24,20160402_015851.545,
L:,9.65,20160402_015851.637,
L:,8.14,20160402_015851.637,
