O:,69.74,-1.46,43.6,
O:,70.35,-1.72,44.58,
O:,70.63,-1.91,45.18,
O:,71.1,-2.09,45.54,
O:,71.92,-2.16,45.81,
O:,72.26,-2.21,45.98,
O:,72.52,-2.27,46.13,
O:,72.84,-2.31,46.21,
O:,73.56,-2.32,46.28,
O:,73.71,-2.33,46.34,
O:,73.96,-2.34,46.38,
O:,74.07,-2.37,46.39,
O:,74.42,-2.37,46.39,
O:,74.17,-2.35,46.37,
O:,74.01,-2.33,46.37,
O:,73.97,-2.37,46.36,
O:,73.97,-2.34,46.39,
O:,73.98,-2.33,46.38,
O:,73.97,-2.34,46.4,
O:,73.98,-2.33,46.37,
O:,73.96,-2.36,46.39,
O:,73.95,-2.38,46.39,
O:,73.98,-2.35,46.36,
O:,73.97,-2.38,46.34,
O:,73.96,-2.36,46.37,
O:,74.0,-2.32,46.35,
O:,73.98,-2.36,46.35,
O:,73.97,-2.37,46.36,
O:,73.98,-2.37,46.34,
O:,73.97,-2.4,46.33,
O:,73.97,-2.42,46.32,
O:,73.95,-2.42,46.35,
O:,73.96,-2.39,46.35,
O:,73.98,-2.36,46.35,
O:,73.98,-2.37,46.33,
O:,74.01,-2.36,46.29,
O:,74.01,-2.37,46.27,
O:,73.98,-2.4,46.31,
O:,73.97,-2.41,46.31,
O:,73.98,-2.39,46.32,
O:,73.98,-2.37,46.34,
O:,73.96,-2.37,46.37,
O:,73.97,-2.34,46.39,
O:,73.95,-2.36,46.4,
O:,73.97,-2.36,46.36,
O:,73.98,-2.38,46.33,
O:,73.98,-2.39,46.33,
O:,73.98,-2.39,46.32,
O:,74.0,-2.38,46.29,
O:,73.98,-2.4,46.3,
O:,73.98,-2.41,46.31,
O:,73.97,-2.43,46.3,
O:,73.98,-2.42,46.29,
O:,74.0,-2.42,46.24,
O:,73.98,-2.42,46.3,
O:,74.0,-2.38,46.3,
O:,74.0,-2.38,46.28,
O:,73.99,-2.39,46.29,
O:,74.01,-2.4,46.25,
O:,74.01,-2.39,46.26,
O:,74.0,-2.4,46.27,
O:,74.0,-2.4,46.27,
O:,73.98,-2.41,46.3,
O:,74.0,-2.4,46.28,
O:,73.97,-2.45,46.29,
O:,73.98,-2.43,46.28,
O:,73.99,-2.4,46.29,
O:,74.0,-2.4,46.26,
O:,74.03,-2.36,46.24,
O:,74.01,-2.37,46.28,
O:,74.01,-2.34,46.31,
L:,11.0,
L:,11.0,
S:,506.0,
O:,87.91,-2.41,-48.49,
O:,88.38,-2.44,-48.48,
O:,88.73,-2.4,-48.5,
O:,89.05,-2.4,-48.52,
O:,88.97,-2.38,-48.49,
O:,88.92,-2.33,-48.46,
O:,88.88,-2.36,-48.46,
O:,89.15,-2.38,-48.46,
O:,89.13,-2.39,-48.45,
O:,89.21,-2.35,-48.45,
O:,89.1,-2.35,-48.48,
O:,89.45,-2.33,-48.48,
O:,89.33,-2.3,-48.51,
O:,89.38,-2.33,-48.5,
O:,89.41,-2.28,-48.46,
O:,89.71,-2.29,-48.51,
O:,89.57,-2.38,-48.48,
O:,89.53,-2.4,-48.47,
O:,89.57,-2.38,-48.5,
O:,89.62,-2.35,-48.52,
O:,89.67,-2.32,-48.53,
O:,89.66,-2.33,-48.51,
O:,89.71,-2.29,-48.52,
O:,89.69,-2.31,-48.53,
O:,89.69,-2.31,-48.53,
O:,89.71,-2.3,-48.53,
O:,89.72,-2.29,-48.51,
O:,89.71,-2.3,-48.55,
O:,89.73,-2.28,-48.53,
O:,89.71,-2.29,-48.57,
O:,89.75,-2.27,-48.59,
O:,89.75,-2.27,-48.57,
O:,89.77,-2.26,-48.54,
O:,89.75,-2.27,-48.49,
O:,89.76,-2.26,-48.54,
O:,89.82,-2.23,-48.55,
O:,89.82,-2.23,-48.57,
O:,89.76,-2.27,-48.57,
O:,89.77,-2.26,-48.55,
O:,89.78,-2.25,-48.57,
O:,89.83,-2.22,-48.53,
O:,89.79,-2.24,-48.55,
O:,89.79,-2.25,-48.58,
O:,89.82,-2.23,-48.57,
O:,89.81,-2.24,-48.54,
O:,89.75,-2.27,-48.53,
O:,89.78,-2.26,-48.5,
O:,89.79,-2.25,-48.53,
O:,89.82,-2.23,-48.56,
O:,89.94,-2.16,-48.55,
O:,89.91,-2.17,-48.62,
O:,89.89,-2.19,-48.59,
O:,89.86,-2.21,-48.58,
O:,89.9,-2.18,-48.54,
O:,89.88,-2.19,-48.54,
O:,89.86,-2.2,-48.53,
O:,89.91,-2.17,-48.52,
O:,89.86,-2.2,-48.54,
O:,89.93,-2.16,-48.54,
O:,89.91,-2.17,-48.57,
O:,89.92,-2.17,-48.56,
O:,89.93,-2.16,-48.56,
O:,89.89,-2.18,-48.56,
O:,89.89,-2.19,-48.54,
O:,89.9,-2.18,-48.56,
O:,89.87,-2.2,-48.58,
O:,89.88,-2.19,-48.55,
O:,89.91,-2.17,-48.54,
O:,89.99,-2.13,-48.52,
O:,89.94,-2.16,-48.52,
O:,89.86,-2.21,-48.53,
O:,89.83,-2.22,-48.51,
O:,89.8,-2.24,-48.55,
O:,89.8,-2.24,-48.53,
O:,89.83,-2.23,-48.54,
O:,89.83,-2.22,-48.51,
O:,89.84,-2.21,-48.5,
O:,89.79,-2.24,-48.5,
O:,89.79,-2.25,-48.56,
L:,10.55,
L:,10.05,
L:,10.45,
L:,10.95,
O:,89.82,-2.23,-48.55,
L:,10.55,
L:,10.05,
L:,11.0,
L:,11.0,
S:,506.0,
O:,88.65,-1.71,-48.59,
O:,88.67,-1.69,-48.61,
O:,88.29,-1.69,-48.62,
O:,88.12,-1.72,-48.63,
O:,88.16,-1.73,-48.67,
L:,11.45,
L:,11.95,
O:,88.39,-1.73,-48.67,
L:,12.0,
L:,11.55,
L:,11.05,
O:,88.94,-1.72,-48.69,
L:,11.0,
O:,89.06,-1.68,-48.68,
L:,11.45,
L:,11.95,
L:,12.0,
O:,89.36,-1.68,-48.68,
O:,89.13,-1.67,-48.68,
O:,89.31,-1.68,-48.66,
