L:,11.05,20160402_135248,
O:,56.38,10.64,-1.68
L:,11,20160402_135248,
O:,60.72,14.51,-4.93
L:,11.45,20160402_135248,
L:,11.95,20160402_135248,
L:,12,20160402_135248,
O:,69.16,21.38,-5.85
L:,11.55,20160402_135248,
L:,11.05,20160402_135248,
O:,77.88,26.93,-6.11
L:,11,20160402_135248,
O:,81.48,27.1,-7.22
O:,81.78,23.06,-8.27
O:,78.23,19.94,-7.67
L:,11.45,20160402_135249,
L:,11.95,20160402_135249,
L:,12,20160402_135249,
O:,72.78,15.36,-6.88
O:,68.69,11.87,-8.4
L:,12.45,20160402_135250,
L:,12.95,20160402_135250,
L:,13.9,20160402_135250,
L:,14.9,20160402_135250,
O:,62.61,18.53,-7.62
L:,15.9,20160402_135250,
L:,16.9,20160402_135250,
L:,19.26,20160402_135250,
L:,21.76,20160402_135250,
O:,48.55,28.01,-5.06
L:,22.9,20160402_135250,
L:,23.9,20160402_135250,
L:,21.74,20160402_135250,
L:,19.24,20160402_135250,
O:,34.72,23.96,-7.82
L:,17.64,20160402_135250,
L:,16.14,20160402_135250,
L:,15.1,20160402_135250,
L:,14.1,20160402_135250,
O:,27.68,10.92,-13.49
L:,13.1,20160402_135250,
L:,12.1,20160402_135250,
L:,12,20160402_135250,
O:,33.83,9.48,-14.08
L:,12.45,20160402_135251,
L:,12.95,20160402_135251,
L:,13.45,20160402_135251,
L:,13.95,20160402_135251,
O:,53.66,22.35,-9.15
L:,14.45,20160402_135251,
L:,14.95,20160402_135251,
L:,13.64,20160402_135251,
L:,12.14,20160402_135251,
O:,74.97,29.88,-6.8
L:,11.55,20160402_135251,
L:,11.05,20160402_135251,
L:,10.55,20160402_135251,
L:,10.05,20160402_135251,
O:,90.51,30.62,-12.27
L:,10,20160402_135251,
L:,9.55,20160402_135251,
L:,9.05,20160402_135251,
O:,97.12,32.82,-15.21
L:,9,20160402_135251,
O:,98.19,28.95,-14.07
O:,103.95,16.42,-16.41
O:,104.35,13.89,-17.56
L:,9.9,20160402_135252,
L:,10.9,20160402_135252,
O:,94.44,26.01,-12.95
L:,12.36,20160402_135252,
L:,13.86,20160402_135252,
L:,14.9,20160402_135252,
L:,15.9,20160402_135252,
O:,83,29.33,-8.23
L:,14.19,20160402_135252,
L:,12.19,20160402_135252,
L:,11.1,20160402_135252,
L:,10.1,20160402_135252,
O:,75.25,14.64,-8.55
L:,9.55,20160402_135253,
L:,9.05,20160402_135253,
L:,8.55,20160402_135253,
L:,8.05,20160402_135253,
O:,76.68,-0.91,-12.5
L:,9.81,20160402_135253,
L:,11.81,20160402_135253,
L:,15.61,20160402_135253,
L:,19.61,20160402_135253,
O:,75.76,10.9,-10.91
L:,21.35,20160402_135253,
L:,22.85,20160402_135253,
L:,25.26,20160402_135253,
L:,27.76,20160402_135253,
O:,53.6,30.94,-8.39
L:,31.11,20160402_135253,
L:,34.54,20160402_135253,
L:,34.56,20160402_135253,
L:,34.05,20160402_135253,
O:,45.24,30.13,-8.29
L:,40.96,20160402_135253,
L:,48.65,20160402_135253,
L:,56.34,20160402_135253,
O:,42.08,18.14,-6.46
L:,67.6,20160402_135254,
L:,79.82,20160402_135254,
L:,104.93,20160402_135254,
L:,131.42,20160402_135254,
O:,33.36,13.2,-6.76
L:,133.1,20160402_135254,
L:,132.1,20160402_135254,
L:,143.76,20160402_135254,
L:,156.76,20160402_135254,
O:,26.85,18.17,-8.57
S:,425,20160402_135254,
S:,426,20160402_135254,
L:,207.19,20160402_135254,
L:,261.56,20160402_135254,
L:,314.74,20160402_135254,
L:,367.79,20160402_135254,
O:,19.96,28.74,-8.24
L:,404.16,20160402_135254,
L:,438.71,20160402_135254,
L:,428.88,20160402_135254,
L:,414.39,20160402_135254,
O:,13.8,27.59,-13.77
L:,411.19,20160402_135254,
L:,409.19,20160402_135254,
L:,395.43,20160402_135254,
L:,380.43,20160402_135254,
O:,11.97,17.94,-22.56
L:,404.34,20160402_135254,
L:,432.34,20160402_135254,
L:,436.81,20160402_135255,
L:,438.81,20160402_135255,
O:,5.86,17.62,-23.13
L:,425.91,20160402_135255,
L:,411.42,20160402_135255,
L:,415.85,20160402_135255,
L:,422.35,20160402_135255,
8,28.94,-19.44,
L:,9.11,20160402_135300,
L:,8.1,20160402_135300,
L:,8.45,20160402_135300,
L:,8.95,20160402_135300,
O:,245.12,40.09,-15.77
S:,437,20160402_135300,
S:,438,20160402_135300,
L:,9,20160402_135300,
O:,239.11,35.38,-11.63
L:,9.45,20160402_135300,
L:,9.95,20160402_135300,
L:,10.9,20160402_135300,
L:,11.9,20160402_135300,
O:,222.84,22.18,-6.9
L:,12.9,20160402_135300,
L:,13.9,20160402_135300,
L:,13.55,20160402_135300,
L:,13.05,20160402_135300,
O:,191.26,14.47,-13.29
L:,12.1,20160402_135300,
L:,11.1,20160402_135301,
L:,11,20160402_135301,
O:,156.54,11.28,-21.73
L:,10.55,20160402_135301,
L:,10.05,20160402_135301,
L:,10,20160402_135301,
O:,141.96,6.72,-27.17
S:,439,20160402_135301,
S:,440,20160402_135301,
L:,9.55,20160402_135301,
L:,9.05,20160402_135301,
L:,9,20160402_135301,
O:,141.68,10.26,-27.63
O:,151.71,15.96,-26.24
L:,9.45,20160402_135301,
L:,9.95,20160402_135301,
O:,172.2,19.08,-23.36
L:,10.45,20160402_135301,
L:,10.95,20160402_135301,
L:,11,20160402_135302,
O:,200.27,22.76,-16.91
L:,11.9,20160402_135302,
L:,12.9,20160402_135302,
L:,13,20160402_135302,
O:,215.45,30.34,-12.26
L:,12.55,20160402_135302,
L:,12.05,20160402_135302,
L:,12.45,20160402_135302,
L:,12.95,20160402_135302,
O:,228.27,34.22,-11.57
L:,13.9,20160402_135302,
L:,14.9,20160402_135302,
L:,15.45,20160402_135302,
L:,15.95,20160402_135302,
O:,242.31,32.42,-11.58
L:,16.45,20160402_135302,
L:,16.95,20160402_135302,
L:,17,20160402_135302,
O:,248.8,33.2,-10.37
L:,17.45,20160402_135302,
L:,17.95,20160402_135302,
L:,18.45,20160402_135303,
L:,18.95,20160402_135303,
O:,257.08,31.97,-9.83
L:,19.45,20160402_135303,
L:,19.95,20160402_135303,
L:,19.55,20160402_135303,
L:,19.05,20160402_135303,
O:,258.09,33.82,-14.34
L:,18.1,20160402_135303,
L:,17.1,20160402_135303,
L:,17.9,20160402_135303,
L:,18.9,20160402_135303,
O:,257.77,29.68,-16.33
L:,19.9,20160402_135303,
L:,20.9,20160402_135303,
L:,22.81,20160402_135303,
L:,24.81,20160402_135303,
O:,261.42,16.19,-14.25
L:,25.45,20160402_135303,
L:,25.95,20160402_135303,
L:,26,20160402_135303,
O:,261.86,18.23,-14.15
L:,24.64,20160402_135304,
L:,23.14,20160402_135304,
L:,19.84,20160402_135304,
L:,16.34,20160402_135304,
O:,263.92,36.74,-15.1
L:,14.64,20160402_135304,
L:,13.14,20160402_135304,
L:,13,20160402_135304,
O:,278.89,42.55,-13.96
L:,14.36,20160402_135304,
L:,15.85,20160402_135304,
L:,18.26,20160402_135304,
L:,20.76,20160402_135304,
O:,290.88,20.7,-9.47
L:,23.71,20160402_135304,
L:,26.71,20160402_135304,
L:,26.55,20160402_135304,
L:,26.05,20160402_135304,
O:,277,8.79,-12.27
L:,25.1,20160402_135304,
L:,24.1,20160402_135304,
L:,22.19,20160402_135304,
L:,20.19,20160402_135304,
O:,264,23.61,-11.08
L:,18.19,20160402_135305,
L:,16.19,20160402_135305,
L:,13.74,20160402_135305,
L:,11.25,20160402_135305,
O:,267.64,38.86,-9.26
L:,10.1,20160402_135305,
L:,9.1,20160402_135305,
L:,6.74,20160402_135305,
L:,4.24,20160402_135305,
S:,441,20160402_135305,
O:,135.11,80.18,18.53
L:,4,20160402_135305,
L:,4.45,20160402_135305,
L:,4.95,20160402_135305,
O:,348.83,71.81,-28.35
L:,5.45,20160402_135305,
L:,5.95,20160402_135305,
L:,5.55,20160402_135305,
L:,5.05,20160402_135305,
O:,343.06,85.75,-21.68
L:,5.45,20160402_135305,
L:,5.95,20160402_135305,
L:,6,20160402_135305,
O:,337.42,104.46,-28.96
L:,5.55,20160402_135306,
L:,5.05,20160402_135306,
O:,324.23,98.92,-38.85
L:,5,20160402_135306,
L:,5.45,20160402_135306,
L:,5.95,20160402_135306,
O:,317.04,76.67,-36.4
S:,442,20160402_135306,
L:,5.55,20160402_135306,
L:,5.05,20160402_135306,
O:,307.5,72.39,-35.16
L:,5.45,20160402_135306,
L:,5.95,20160402_135306,
L:,5.55,20160402_135306,
L:,5.05,20160402_135306,
L:,4.55,20160402_135306,
L:,4.05,20160402_135306,
O:,294.76,83.79,-46.3
L:,4,20160402_135306,
L:,4.45,20160402_135306,
L:,4.95,20160402_135306,
O:,274.55,74.93,-47.75
L:,4.55,20160402_135307,
L:,4.05,20160402_135307,
L:,4.45,20160402_135307,
L:,4.95,20160402_135307,
O:,270.25,69.72,-33.15
L:,5,20160402_135307,
L:,4.55,20160402_135307,
L:,4.05,20160402_135307,
O:,274.17,63.89,-18.21
S:,443,20160402_135307,
S:,444,20160402_135307,
L:,4,20160402_135307,
O:,246.81,59.07,-21.29
L:,4.45,20160402_135307,
L:,4.95,20160402_135307,
