Cooking 	S 	-160.0 	2014-10-27 11:38:11 	
Cooking 	SW 	-155.0 	2014-10-27 11:39:43 	
Cooking 	SW 	-157.0 	2014-10-27 11:39:47 	
Cooking 	S 	161.0 	2014-10-27 12:08:30 	
Cooking 	S 	164.0 	2014-10-27 12:08:35 	
Cooking 	SW 	-114.0 	2014-10-27 18:14:31 	
Cooking 	SW 	-119.0 	2014-10-27 18:14:35 	
Cooking 	SW 	-129.0 	2014-10-27 18:31:03 	
Cooking 	SW 	-127.0 	2014-10-27 18:31:07 	
Cooking 	SE 	117.0 	2014-10-28 18:44:00 	
Cooking 	SE 	117.0 	2014-10-28 18:44:04 	
Cooking 	SE 	117.0 	2014-10-28 18:45:30 	
Cooking 	SE 	117.0 	2014-10-28 18:45:34 	
Cooking 	SE 	117.0 	2014-10-30 12:40:38 	
Cooking 	SE 	117.0 	2014-10-30 12:40:42 	
Cooking 	SW 	-122.0 	2014-10-30 22:02:52 	
Cooking 	SW 	-123.0 	2014-10-30 22:02:56 	
Cooking 	SW 	-124.0 	2014-10-30 22:03:46 	
Cooking 	SW 	-125.0 	2014-10-30 22:03:50 	
Cooking 	SW 	-124.0 	2014-10-31 16:34:33 	
Cooking 	SW 	-121.0 	2014-10-31 16:34:37 	
Cooking 	SW 	-126.0 	2014-10-31 22:41:09 	
Cooking 	SW 	-126.0 	2014-10-31 22:42:10 	
Cooking 	SW 	-126.0 	2014-10-31 22:43:42 	
Cooking 	SW 	-126.0 	2014-10-31 22:43:46 	
Cooking 	SW 	-114.0 	2014-10-31 22:50:33 	
Cooking 	SW 	-115.0 	2014-10-31 22:50:37 	
Cooking 	SE 	131.0 	2014-11-01 20:00:04 	
Cooking 	SE 	137.0 	2014-11-01 20:00:08 	
Cooking 	SW 	-126.0 	2014-11-02 22:05:14 	
Cooking 	SW 	-126.0 	2014-11-02 22:05:18 	
Cooking 	SW 	-126.0 	2014-11-02 22:05:58 	
Cooking 	SW 	-126.0 	2014-11-02 22:06:02 	
Cooking 	SW 	-116.0 	2014-11-03 11:42:45 	
Cooking 	SW 	-116.0 	2014-11-03 11:42:49 	
Cooking 	SW 	-114.0 	2014-11-03 11:43:14 	
Cooking 	SW 	-117.0 	2014-11-03 11:43:18 	
Cooking 	S 	160.0 	2014-11-03 11:52:42 	
Cooking 	S 	162.0 	2014-11-03 11:52:46 	
Cooking 	SW 	-111.0 	2014-11-03 23:57:12 	
Cooking 	SW 	-114.0 	2014-11-03 23:57:16 	
Cooking 	SW 	-126.0 	2014-11-04 00:03:54 	
Cooking 	SW 	-126.0 	2014-11-04 00:03:58 	
Cooking 	SW 	-131.0 	2014-11-04 18:35:29 	
Cooking 	SW 	-131.0 	2014-11-04 18:36:30 	
Cooking 	SW 	-119.0 	2014-11-04 18:37:30 	
Cooking 	SW 	-124.0 	2014-11-04 18:38:30 	
Cooking 	SW 	-126.0 	2014-11-04 18:39:14 	
Cooking 	SW 	-126.0 	2014-11-04 18:39:18 	
Cooking 	SW 	-126.0 	2014-11-04 19:17:28 	
Cooking 	SW 	-111.0 	2014-11-05 11:43:49 	
Cooking 	SW 	-114.0 	2014-11-05 11:43:53 	
Cooking 	SW 	-126.0 	2014-11-05 12:00:47 	
Cooking 	SW 	-126.0 	2014-11-05 12:00:51 	
Cooking 	SW 	-126.0 	2014-11-05 18:17:06 	
Cooking 	SW 	-126.0 	2014-11-05 18:17:10 	
Cooking 	SE 	159.0 	2014-11-06 11:46:09 	
Cooking 	S 	164.0 	2014-11-06 11:46:13 	
Cooking 	SW 	-113.0 	2014-11-06 11:47:49 	
Cooking 	SW 	-126.0 	2014-11-06 11:47:53 	
Cooking 	SW 	-111.0 	2014-11-06 11:49:46 	
Cooking 	SW 	-114.0 	2014-11-06 11:49:50 	
Cooking 	SW 	-131.0 	2014-11-07 12:07:02 	
Cooking 	SW 	-132.0 	2014-11-07 12:07:06 	
Cooking 	SW 	-134.0 	2014-11-07 12:07:24 	
Cooking 	SW 	-133.0 	2014-11-07 12:07:28 	
Cooking 	SW 	-130.0 	2014-11-07 12:08:28 	
Cooking 	SW 	-126.0 	2014-11-07 12:08:32 	
Cooking 	SW 	-143.0 	2014-11-08 10:17:02 	
Cooking 	SW 	-141.0 	2014-11-08 10:17:06 	
Cooking 	SW 	-137.0 	2014-11-08 10:18:22 	
Cooking 	SW 	-144.0 	2014-11-08 10:18:26 	
Cooking 	SW 	-143.0 	2014-11-08 10:19:17 	
Cooking 	SW 	-138.0 	2014-11-08 10:19:21 	
Cooking 	SW 	-140.0 	2014-11-08 10:20:06 	
Cooking 	SW 	-144.0 	2014-11-08 10:20:10 	
Cooking 	SW 	-135.0 	2014-11-08 10:20:45 	
Cooking 	SW 	-137.0 	2014-11-08 10:20:49 	
Cooking 	SE 	149.0 	2014-11-09 14:31:55 	
Cooking 	SE 	145.0 	2014-11-09 14:31:59 	
Cooking 	SE 	154.0 	2014-11-09 14:32:15 	
Cooking 	SE 	150.0 	2014-11-09 14:32:19 	
Cooking 	SE 	155.0 	2014-11-09 14:32:40 	
Cooking 	SE 	146.0 	2014-11-09 14:32:44 	
Cooking 	SW 	-126.0 	2014-11-09 20:55:27 	
Cooking 	SW 	-126.0 	2014-11-09 20:55:31 	
Cooking 	SW 	-130.0 	2014-11-10 12:20:57 	
Cooking 	SW 	-123.0 	2014-11-10 12:21:01 	
Cooking 	SW 	-159.0 	2014-11-10 12:33:38 	
Cooking 	SW 	-159.0 	2014-11-10 12:33:42 	
Cooking 	SW 	-119.0 	2014-11-10 17:18:19 	
Cooking 	SW 	-124.0 	2014-11-10 17:18:23 	
Cooking 	SW 	-126.0 	2014-11-10 17:26:17 	
Cooking 	SW 	-126.0 	2014-11-10 17:26:21 	
Cooking 	SE 	131.0 	2014-11-11 11:45:02 	
Cooking 	SE 	131.0 	2014-11-11 11:45:06 	
Cooking 	SE 	143.0 	2014-11-11 11:47:40 	
Cooking 	SE 	140.0 	2014-11-11 11:47:44 	
Cooking 	SE 	141.0 	2014-11-11 11:48:38 	
Cooking 	SE 	136.0 	2014-11-11 11:48:42 	
Cooking 	SE 	140.0 	2014-11-11 11:50:34 	
Cooking 	SE 	135.0 	2014-11-11 11:50:38 	
Cooking 	SW 	-126.0 	2014-11-12 12:14:45 	
Cooking 	SW 	-126.0 	2014-11-12 12:14:49 	
Cooking 	SE 	110.0 	2014-11-12 12:15:17 	
Cooking 	SW 	-126.0 	2014-11-12 12:15:21 	
Cooking 	SW 	-126.0 	2014-11-12 12:15:49 	
Cooking 	SW 	-126.0 	2014-11-12 12:15:53 	
Cooking 	SW 	-126.0 	2014-11-12 12:16:12 	
Cooking 	SW 	-126.0 	2014-11-12 12:16:16 	
Cooking 	SW 	-126.0 	2014-11-12 12:18:49 	
Cooking 	SW 	-126.0 	2014-11-12 12:18:53 	
Cooking 	SW 	-126.0 	2014-11-12 12:19:42 	
Cooking 	SW 	-126.0 	2014-11-12 12:19:46 	
Cooking 	SW 	-112.0 	2014-11-12 18:24:24 	
Cooking 	SW 	-126.0 	2014-11-12 18:24:28 	
Cooking 	SW 	-119.0 	2014-11-12 18:24:53 	
