Washing dishes 	SW 	-124.0 	2014-11-09 22:17:21 	
Washing dishes 	SW 	-124.0 	2014-11-09 22:17:25 	
Washing dishes 	NW 	-67.0 	2014-11-10 18:03:55 	
Washing dishes 	NW 	-68.0 	2014-11-10 18:04:00 	
Washing dishes 	NW 	-42.0 	2014-11-11 12:39:25 	
Washing dishes 	NW 	-43.0 	2014-11-11 12:39:29 	
Washing dishes 	SW 	-124.0 	2014-11-11 18:10:17 	
Washing dishes 	SW 	-124.0 	2014-11-11 18:10:21 	
Washing dishes 	NW 	-38.0 	2014-11-12 00:29:42 	
Washing dishes 	NW 	-34.0 	2014-11-12 00:29:46 	
Washing dishes 	NW 	-48.0 	2014-11-12 00:30:07 	
Washing dishes 	NW 	-46.0 	2014-11-12 00:30:11 	
Washing dishes 	NW 	-44.0 	2014-11-12 00:30:28 	
Washing dishes 	NW 	-53.0 	2014-11-12 00:30:32 	
Washing dishes 	SW 	-124.0 	2014-11-12 13:06:55 	
Washing dishes 	SW 	-124.0 	2014-11-12 13:06:59 	
Washing dishes 	NW 	-34.0 	2014-11-12 19:00:35 	
Washing dishes 	NW 	-34.0 	2014-11-12 19:00:39 	
Washing dishes 	SW 	-124.0 	2014-11-12 19:00:58 	
Washing dishes 	SW 	-124.0 	2014-11-12 19:01:02 	
Washing dishes 	SW 	-124.0 	2014-11-12 19:15:09 	
Washing dishes 	SW 	-124.0 	2014-11-12 19:15:13 	
Washing dishes 	SW 	-143.0 	2014-11-12 23:31:23 	
Washing dishes 	SW 	-138.0 	2014-11-12 23:31:27 	
Washing dishes 	SW 	-133.0 	2014-11-12 23:32:29 	
Washing dishes 	SW 	-132.0 	2014-11-12 23:32:33 	
Washing dishes 	SW 	-157.0 	2014-11-13 13:20:57 	
Washing dishes 	SW 	-124.0 	2014-11-13 13:21:01 	
Washing dishes 	SW 	-115.0 	2014-11-13 20:28:44 	
Washing dishes 	SW 	-117.0 	2014-11-13 20:28:48 	
Washing dishes 	W 	-107.0 	2014-11-13 20:29:42 	
Washing dishes 	SW 	-113.0 	2014-11-13 20:29:46 	
Washing dishes 	W 	-106.0 	2014-11-13 20:30:33 	
Washing dishes 	SW 	-112.0 	2014-11-13 20:30:37 	
Washing dishes 	W 	-102.0 	2014-11-14 00:53:20 	
Washing dishes 	W 	-101.0 	2014-11-14 00:53:24 	
Washing dishes 	W 	-91.0 	2014-11-14 11:46:06 	
Washing dishes 	W 	-94.0 	2014-11-14 11:46:10 	
Washing dishes 	W 	-90.0 	2014-11-14 11:46:39 	
Washing dishes 	W 	-90.0 	2014-11-14 11:46:43 	
Washing dishes 	W 	-91.0 	2014-11-14 11:47:08 	
Washing dishes 	W 	-91.0 	2014-11-14 11:47:12 	
Washing dishes 	W 	-71.0 	2014-11-14 20:18:29 	
Washing dishes 	W 	-77.0 	2014-11-14 20:18:34 	
Washing dishes 	W 	-74.0 	2014-11-14 20:19:29 	
Washing dishes 	W 	-71.0 	2014-11-14 20:19:33 	
Washing dishes 	W 	-75.0 	2014-11-14 20:19:52 	
Washing dishes 	W 	-70.0 	2014-11-14 20:19:56 	
Washing dishes 	W 	-72.0 	2014-11-14 20:21:23 	
Washing dishes 	W 	-71.0 	2014-11-14 20:21:27 	
Washing dishes 	SW 	-115.0 	2014-11-15 09:44:00 	
Washing dishes 	SW 	-120.0 	2014-11-15 09:44:04 	
Washing dishes 	SW 	-124.0 	2014-11-15 13:24:34 	
Washing dishes 	SW 	-124.0 	2014-11-15 13:24:38 	
