Chopping 	W 	-101.0 	2014-10-26 19:35:04 	
Chopping 	W 	-101.0 	2014-10-26 19:35:09 	
Chopping 	SW 	-115.0 	2014-11-06 20:35:05 	
Chopping 	SW 	-122.0 	2014-11-06 20:35:09 	
Chopping 	SW 	-117.0 	2014-11-06 20:35:40 	
Chopping 	SW 	-116.0 	2014-11-06 20:35:44 	
Chopping 	SW 	-116.0 	2014-11-06 20:36:10 	
Chopping 	SW 	-123.0 	2014-11-06 20:36:14 	
Chopping 	SW 	-113.0 	2014-11-06 20:36:30 	
Chopping 	SW 	-118.0 	2014-11-06 20:36:35 	
