Lunch 	N 	2.0 	2014-11-12 12:44:17 	
Lunch 	N 	16.0 	2014-11-13 13:11:29 	
Lunch 	N 	13.0 	2014-11-13 13:11:33 	
Lunch 	NE 	22.0 	2014-11-13 13:11:53 	
Lunch 	N 	17.0 	2014-11-13 13:11:57 	
Lunch 	NE 	22.0 	2014-11-13 13:12:35 	
Lunch 	NE 	20.0 	2014-11-13 13:12:39 	
Lunch 	N 	19.0 	2014-11-13 13:12:59 	
Lunch 	N 	18.0 	2014-11-13 13:13:04 	
Lunch 	NE 	35.0 	2014-11-13 13:20:29 	
Lunch 	NE 	32.0 	2014-11-13 13:20:33 	
Lunch 	N 	-5.0 	2014-11-14 11:24:21 	
Lunch 	N 	-5.0 	2014-11-14 11:24:25 	
Lunch 	N 	-5.0 	2014-11-14 11:24:51 	
Lunch 	N 	-5.0 	2014-11-14 11:24:55 	
Lunch 	N 	-5.0 	2014-11-14 11:25:25 	
Lunch 	N 	-5.0 	2014-11-14 11:25:29 	
Lunch 	N 	-5.0 	2014-11-15 13:53:33 	
Lunch 	N 	-5.0 	2014-11-15 13:53:37 	
Lunch 	N 	-17.0 	2014-11-15 13:54:28 	
Lunch 	N 	-18.0 	2014-11-15 13:54:32 	
Lunch 	N 	-19.0 	2014-11-15 13:54:56 	
Lunch 	NW 	-23.0 	2014-11-15 13:55:00 	
Lunch 	N 	19.0 	2014-11-16 13:31:35 	
Lunch 	N 	15.0 	2014-11-16 13:31:39 	
Lunch 	N 	1.0 	2014-11-16 13:32:02 	
Lunch 	N 	1.0 	2014-11-16 13:32:06 	
Lunch 	N 	3.0 	2014-11-16 13:32:25 	
Lunch 	N 	5.0 	2014-11-16 13:32:29 	
Lunch 	N 	0.0 	2014-11-16 13:33:09 	
Lunch 	N 	1.0 	2014-11-16 13:33:13 	
Lunch 	NW 	-22.0 	2014-10-06 10:33:14 	
Lunch 	NW 	-21.0 	2014-10-06 10:33:18 	
Lunch 	NW 	-22.0 	2014-10-06 10:33:32 	
Lunch 	N 	-19.0 	2014-10-06 10:33:36 	
Lunch 	NW 	-20.0 	2014-10-06 10:33:53 	
Lunch 	N 	-17.0 	2014-10-06 10:33:57 	
Lunch 	NW 	-21.0 	2014-10-06 10:37:44 	
Lunch 	N 	-19.0 	2014-10-06 10:37:48 	
Lunch 	NW 	-50.0 	2014-10-06 11:00:11 	
Lunch 	N 	-9.0 	2014-10-06 11:04:01 	
Lunch 	N 	-9.0 	2014-10-06 11:04:05 	
Lunch 	N 	-9.0 	2014-10-06 11:08:40 	
Lunch 	N 	-16.0 	2014-10-06 11:40:36 	
Lunch 	N 	-13.0 	2014-10-06 11:40:40 	
Lunch 	NW 	-20.0 	2014-10-06 11:44:36 	
Lunch 	NW 	-28.0 	2014-10-06 12:08:29 	
Lunch 	N 	13.0 	2014-10-06 13:11:57 	
