Dinner 	N 	-3.0 	2014-11-09 21:33:12 	
Dinner 	N 	-3.0 	2014-11-09 21:33:33 	
Dinner 	N 	-4.0 	2014-11-09 21:33:37 	
Dinner 	N 	-6.0 	2014-11-09 21:33:54 	
Dinner 	N 	-5.0 	2014-11-09 21:33:58 	
Dinner 	N 	-19.0 	2014-11-10 17:33:55 	
Dinner 	NW 	-21.0 	2014-11-10 17:33:59 	
Dinner 	NW 	-60.0 	2014-11-10 17:35:54 	
Dinner 	NW 	-63.0 	2014-11-10 17:35:58 	
Dinner 	N 	2.0 	2014-11-11 17:38:38 	
Dinner 	N 	3.0 	2014-11-11 17:38:42 	
Dinner 	N 	2.0 	2014-11-11 17:39:00 	
Dinner 	N 	6.0 	2014-11-11 17:39:04 	
Dinner 	N 	4.0 	2014-11-11 17:39:31 	
Dinner 	N 	6.0 	2014-11-11 17:39:36 	
Dinner 	N 	3.0 	2014-11-11 17:39:58 	
Dinner 	N 	4.0 	2014-11-11 17:40:02 	
Dinner 	NW 	-22.0 	2014-11-12 18:34:19 	
Dinner 	NW 	-24.0 	2014-11-12 18:34:24 	
Dinner 	N 	-19.0 	2014-11-12 18:34:46 	
Dinner 	N 	-18.0 	2014-11-12 18:34:50 	
Dinner 	N 	6.0 	2014-11-13 20:04:06 	
Dinner 	N 	10.0 	2014-11-13 20:04:10 	
Dinner 	N 	8.0 	2014-11-13 20:04:27 	
Dinner 	NW 	-26.0 	2014-11-13 20:04:31 	
Dinner 	N 	13.0 	2014-11-13 20:04:47 	
Dinner 	N 	14.0 	2014-11-13 20:04:51 	
Dinner 	NE 	21.0 	2014-11-14 00:42:27 	
Dinner 	N 	19.0 	2014-11-14 00:42:31 	
Dinner 	NE 	20.0 	2014-11-14 00:42:54 	
Dinner 	NE 	20.0 	2014-11-14 00:42:58 	
Dinner 	NE 	21.0 	2014-11-14 00:43:22 	
Dinner 	NE 	20.0 	2014-11-14 00:43:26 	
Dinner 	N 	-4.0 	2014-11-14 19:45:18 	
Dinner 	N 	-4.0 	2014-11-14 19:45:22 	
Dinner 	N 	-3.0 	2014-11-14 19:45:47 	
Dinner 	N 	-3.0 	2014-11-14 19:45:51 	
Dinner 	N 	-6.0 	2014-11-14 19:46:09 	
Dinner 	N 	-3.0 	2014-11-14 19:46:13 	
Dinner 	NW 	-48.0 	2014-10-06 14:34:55 	
Dinner 	NW 	-48.0 	2014-10-06 14:34:59 	
Dinner 	NW 	-48.0 	2014-10-06 14:35:03 	
