Washinginbathroom,SW,washing,Unknown,14,2014-10-08 14:22:44
Washinginbathroom,SW,washing,Unknown,14,2014-10-08 14:22:48
Washinginbathroom,SW,bathroom,Unknown,14,2014-10-08 14:35:44
Washinginbathroom,SW,bathroom,Unknown,14,2014-10-08 14:35:49
Washinginbathroom,SW,None,Unknown,00,2014-10-21 00:22:11
Washinginbathroom,SW,None,Bathroom,00,2014-10-21 00:22:16
Washinginbathroom,W,cooking2,Bathroom,23,2014-10-25 23:40:02
Washinginbathroom,W,cooking2,Bathroom,23,2014-10-25 23:40:06
Washinginbathroom,SW,music and eating,Bathroom,23,2014-10-25 23:43:08
Washinginbathroom,SW,music and eating,Bathroom,23,2014-10-25 23:43:12
Washinginbathroom,NW,?,Bathroom,23,2014-10-25 23:43:50
Washinginbathroom,NW,?,Bathroom,23,2014-10-25 23:43:51
Washinginbathroom,W,bathroom,Bathroom,12,2014-10-26 12:30:07
Washinginbathroom,W,bathroom,Bathroom,12,2014-10-26 12:30:11
Washinginbathroom,W,None,Bathroom,12,2014-10-26 12:31:13
Washinginbathroom,W,None,Bathroom,12,2014-10-26 12:31:17
Washinginbathroom,NW,None,Bathroom,23,2014-10-28 23:04:11
Washinginbathroom,NW,None,Bathroom,23,2014-10-28 23:04:16
Washinginbathroom,W,None,Bathroom,11,2014-10-29 11:49:58
Washinginbathroom,W,None,Bathroom,11,2014-10-29 11:50:02
Washinginbathroom,W,bathroom,Bathroom,21,2014-10-31 21:22:14
Washinginbathroom,W,bathroom,Bathroom,21,2014-10-31 21:22:18
Washinginbathroom,W,None,Bathroom,22,2014-10-31 22:32:01
Washinginbathroom,W,None,Bathroom,22,2014-10-31 22:32:05
Washinginbathroom,SW,eating,Bathroom,23,2014-10-31 23:29:01
Washinginbathroom,SW,eating,Bathroom,23,2014-10-31 23:29:05
Washinginbathroom,W,bathroom,Bathroom,20,2014-11-01 20:24:24
Washinginbathroom,W,bathroom,Bathroom,20,2014-11-01 20:24:28
Washinginbathroom,W,bathroom,Bathroom,20,2014-11-01 20:28:41
Washinginbathroom,W,bathroom,Bathroom,20,2014-11-01 20:28:45
