@RELATION activityRelation

@ATTRIBUTE orientation numeric
@ATTRIBUTE soundPredictionResult numeric
@ATTRIBUTE wifiPredictionResult numeric
@ATTRIBUTE hour numeric
@ATTRIBUTE activity {Bathroom,Midnightsnack,Cooking,Cookingchopping,Lunch,Dinner,Washinginbathroom,Washingdishes,Breakfast}

@DATA
7,4,2,20,Bathroom
7,4,2,20,Bathroom
7,4,2,23,Bathroom
6,4,2,23,Bathroom
6,0,2,23,Bathroom
6,0,2,23,Bathroom
6,0,2,23,Bathroom
6,0,2,23,Bathroom
5,4,2,11,Bathroom
5,4,2,11,Bathroom
6,4,2,11,Bathroom
5,4,2,11,Bathroom
5,?,2,11,Bathroom
5,?,2,11,Bathroom
5,?,2,21,Bathroom
5,?,2,21,Bathroom
6,0,2,00,Bathroom
6,0,2,00,Bathroom
6,2,2,00,Bathroom
6,2,2,00,Bathroom
6,2,2,20,Bathroom
6,2,2,20,Bathroom
6,1,2,20,Bathroom
6,1,2,20,Bathroom
6,?,2,23,Bathroom
6,?,2,23,Bathroom
6,?,2,09,Bathroom
6,?,2,09,Bathroom
6,1,2,00,Bathroom
6,1,2,00,Bathroom
6,0,2,00,Bathroom
6,0,2,00,Bathroom
6,4,2,20,Bathroom
6,4,2,20,Bathroom
6,4,2,20,Bathroom
6,4,2,20,Bathroom
6,4,2,23,Bathroom
7,4,2,23,Bathroom
6,4,2,11,Bathroom
5,4,2,11,Bathroom
6,2,2,17,Bathroom
6,2,2,17,Bathroom
6,6,2,22,Bathroom
6,6,2,22,Bathroom
5,0,2,23,Bathroom
5,0,2,23,Bathroom
5,4,2,17,Bathroom
5,4,2,17,Bathroom
5,4,2,17,Bathroom
5,4,2,17,Bathroom
6,6,2,23,Bathroom
6,0,2,00,Bathroom
6,0,2,00,Bathroom
6,4,2,23,Bathroom
6,4,2,23,Bathroom
6,?,2,11,Bathroom
6,?,2,11,Bathroom
7,4,2,18,Bathroom
7,4,2,18,Bathroom
6,2,2,11,Bathroom
6,2,2,11,Bathroom
6,?,2,11,Bathroom
6,?,2,11,Bathroom
7,?,2,23,Bathroom
7,?,2,23,Bathroom
6,0,2,23,Bathroom
6,0,2,23,Bathroom
6,?,2,23,Bathroom
6,?,2,23,Bathroom
7,2,2,23,Bathroom
6,2,2,23,Bathroom
6,1,2,18,Bathroom
6,1,2,18,Bathroom
6,1,2,18,Bathroom
6,?,2,18,Bathroom
6,?,2,11,Bathroom
6,?,2,11,Bathroom
6,?,2,20,Bathroom
6,?,2,20,Bathroom
5,1,2,13,Bathroom
5,1,2,13,Bathroom
6,?,4,23,Washingdishes
6,?,4,23,Washingdishes
5,?,4,23,Washingdishes
5,?,4,23,Washingdishes
5,?,4,23,Washingdishes
5,?,4,23,Washingdishes
5,2,4,12,Washingdishes
5,2,4,12,Washingdishes
6,?,4,18,Washingdishes
6,?,4,18,Washingdishes
6,?,4,19,Washingdishes
5,?,4,19,Washingdishes
6,4,4,09,Washingdishes
6,4,4,09,Washingdishes
6,1,4,19,Washingdishes
6,1,4,19,Washingdishes
6,0,4,20,Washingdishes
6,0,4,20,Washingdishes
7,4,4,13,Washingdishes
7,4,4,13,Washingdishes
6,2,4,18,Washingdishes
6,2,4,18,Washingdishes
6,2,4,23,Washingdishes
6,2,4,23,Washingdishes
6,4,4,11,Washingdishes
6,4,4,11,Washingdishes
6,2,4,17,Washingdishes
6,2,4,17,Washingdishes
6,2,4,17,Washingdishes
6,2,4,17,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,2,4,12,Washingdishes
6,2,4,12,Washingdishes
6,4,4,23,Washingdishes
6,4,4,23,Washingdishes
5,4,4,22,Washingdishes
5,4,4,22,Washingdishes
5,4,4,22,Washingdishes
5,4,4,22,Washingdishes
6,?,4,22,Washingdishes
6,?,4,22,Washingdishes
6,6,4,23,Washingdishes
6,6,4,23,Washingdishes
5,2,4,20,Washingdishes
5,2,4,20,Washingdishes
6,6,4,22,Washingdishes
6,6,4,22,Washingdishes
6,2,4,12,Washingdishes
6,2,4,12,Washingdishes
7,4,4,19,Washingdishes
7,4,4,19,Washingdishes
6,?,4,19,Washingdishes
7,4,4,19,Washingdishes
7,4,4,19,Washingdishes
6,6,4,12,Washingdishes
6,6,4,12,Washingdishes
5,4,4,17,Washingdishes
5,4,4,17,Washingdishes
6,6,4,18,Washingdishes
6,6,4,18,Washingdishes
6,?,4,18,Washingdishes
6,?,4,18,Washingdishes
6,2,4,22,Washingdishes
7,2,4,22,Washingdishes
7,2,4,23,Washingdishes
7,2,4,23,Washingdishes
6,?,4,11,Washingdishes
5,?,4,11,Washingdishes
6,1,4,11,Washingdishes
6,1,4,11,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,4,4,12,Washingdishes
6,?,4,10,Washingdishes
6,?,4,10,Washingdishes
6,?,4,10,Washingdishes
6,?,4,10,Washingdishes
6,2,4,10,Washingdishes
6,2,4,10,Washingdishes
7,2,4,10,Washingdishes
6,2,4,10,Washingdishes
6,2,4,23,Washingdishes
6,2,4,23,Washingdishes
6,0,4,14,Washingdishes
