1	1:-45	2:-51	3:-55	4:-51	5:-65	6:-66	7:-69	8:-83	9:-74	
1	1:-45	2:-49	3:-55	4:-51	5:-64	6:-66	7:-69	8:-83	9:-77	
1	1:-45	2:-50	3:-56	4:-52	5:-65	6:-67	7:-69	8:-83	9:-75	
2	1:-48	2:-54	3:-63	4:-55	5:-68	6:-72	7:-73	8:-78	9:-76	
3	1:-49	2:-51	3:-47	4:-83	5:-51	6:-52	7:-68	8:-72	9:-72	
1	1:-45	2:-47	3:-56	4:-52	5:-65	6:-66	7:-68	8:-82	9:-75	
1	1:-46	2:-47	3:-56	4:-51	5:-62	6:-69	7:-69	8:-81	9:-78	
3	1:-52	2:-47	3:-65	4:-59	5:-61	6:-53	7:-71	8:-71	9:-73	
1	1:-45	2:-48	3:-58	4:-53	5:-65	6:-67	7:-70	8:0	9:-74	
1	1:-45	2:-49	3:-50	4:-48	5:-66	6:-65	7:-69	8:-80	9:-79	
1	1:-45	2:-49	3:-54	4:-54	5:-63	6:-69	7:-70	8:-83	9:-80	
3	1:-52	2:-47	3:-65	4:-59	5:-61	6:-53	7:-71	8:-71	9:-73	
1	1:-45	2:-47	3:-55	4:-53	5:-67	6:-66	7:-69	8:-82	9:-77	
1	1:-45	2:-47	3:-56	4:-52	5:-65	6:-66	7:-70	8:0	9:-74	
1	1:-45	2:-47	3:-59	4:-51	5:-63	6:-67	7:-71	8:-83	9:-82	
1	1:-45	2:-51	3:-57	4:-50	5:-65	6:-66	7:-70	8:-79	9:-75	
2	1:-47	2:-52	3:-65	4:-55	5:-67	6:-72	7:-72	8:-80	9:-77	
4	1:-52	2:-48	3:-53	4:-83	5:-59	6:-61	7:-71	8:-75	9:-75	
1	1:-45	2:-47	3:-54	4:-48	5:-62	6:-65	7:-69	8:-74	9:-77	
4	1:-53	2:-53	3:-57	4:-83	5:-60	6:-63	7:-71	8:-76	9:-77	
4	1:-55	2:-47	3:-60	4:-83	5:-57	6:-62	7:-71	8:-73	9:-74	
1	1:-45	2:-53	3:-56	4:-52	5:-65	6:-67	7:-72	8:-83	9:-76	
2	1:-51	2:-49	3:-62	4:-55	5:-67	6:-72	7:-73	8:-80	9:-79	
1	1:-45	2:-51	3:-60	4:-51	5:-65	6:-68	7:-70	8:-83	9:-80	
1	1:-46	2:-49	3:-57	4:-51	5:-63	6:-67	7:-68	8:-81	9:-79	
1	1:-45	2:-51	3:-58	4:-52	5:-65	6:-66	7:-69	8:-83	9:-76	
4	1:-51	2:-47	3:-54	4:-57	5:-60	6:-64	7:-71	8:-74	9:-75	
4	1:-55	2:-52	3:-63	4:-63	5:-59	6:-65	7:-74	8:-73	9:-75	
1	1:-45	2:-49	3:-57	4:-51	5:-64	6:-66	7:-70	8:-80	9:-75	
2	1:-48	2:-55	3:-66	4:-57	5:-65	6:-72	7:-72	8:-80	9:-78	
3	1:-50	2:-47	3:-59	4:-60	5:-58	6:-55	7:-71	8:-72	9:-73	
1	1:-45	2:-49	3:-55	4:-53	5:-64	6:-66	7:-69	8:-83	9:-77	
1	1:-45	2:-48	3:-56	4:-51	5:-62	6:-66	7:-70	8:-83	9:-79	
1	1:-45	2:-49	3:-55	4:-51	5:-65	6:-67	7:-71	8:-83	9:-81	
3	1:-48	2:-51	3:-47	4:-57	5:-52	6:-56	7:-68	8:-71	9:-72	
1	1:-45	2:-53	3:-54	4:-52	5:-65	6:-66	7:-68	8:-83	9:-75	
1	1:-45	2:-49	3:-48	4:-48	5:-66	6:-65	7:-69	8:-80	9:-79	
3	1:-47	2:-53	3:-48	4:-83	5:-56	6:-60	7:-65	8:-69	9:-73	
1	1:-45	2:-52	3:-54	4:-52	5:-65	6:-66	7:-68	8:-83	9:-75	
4	1:-49	2:-52	3:-53	4:-62	5:-54	6:-64	7:-68	8:-71	9:-75	
4	1:-53	2:-51	3:-53	4:-60	5:-61	6:-65	7:-72	8:-72	9:-74	
3	1:-49	2:-47	3:-57	4:-58	5:-58	6:-55	7:-68	8:-72	9:-73	
