seed/bathroom.mp3 already fingerprinted, continuing...
seed/bus.mp3 already fingerprinted, continuing...
seed/Walking outside.mp3 already fingerprinted, continuing...
seed/keyboard.mp3 already fingerprinted, continuing...
seed/music and eating.mp3 already fingerprinted, continuing...
seed/washing.mp3 already fingerprinted, continuing...
seed/cooking2.mp3 already fingerprinted, continuing...
seed/cooking.mp3 already fingerprinted, continuing...
9898
----------------------------17---------
Filename 	         Prediction 	          Actual activity 				 Prediction by human ear 
20141012_102822 	 Walking outside 				  Cooking
20141012_120734 	 cooking 				  Working on PC at home
20141025_233940 	 cooking 				  Washing in bathroom
20141006_144320 	 bathroom 				  Music
20141018_094034 	 bus 				  Working on PC at home
20141027_000038 	 bathroom 				  Midnight snack
20141006_143447 	 cooking 				  Dinner
20141026_194740 	 cooking2 				  Dinner
20141011_193435 	 bathroom 				  Music
20141026_192742 	 bathroom 				  Working on PC at home
20141015_204307 	 music and eating 				  Working on PC at home
20141012_104353 	 bus 				  Cooking
20141007_195310 	 Walking outside 				  Working on PC at home
20141012_104316 	 bathroom 				  Cooking
20141022_171756 	 cooking 				  Working on PC at home
20141018_195253 	 music and eating 				  Dinner
20141006_144006 	 music and eating 				  Music
20141014_230032 	 Walking outside 				  Working on PC at home
20141015_121615 	 bathroom 				  Lunch
20141017_193848 	 cooking2 				  Washing dishes
20141006_103345 	 keyboard 				  Lunch
20141012_103053 	 bathroom 				  Cooking
20141019_220711 	 washing 				  Working on PC at home
20141024_120613 	 cooking2 				  Lunch
